STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/31/2013,0.2
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/1/2013,0.04
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/2/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/3/2013,0.29
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/4/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/5/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/6/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/7/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/8/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/12/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/13/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/14/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/15/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/16/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/17/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/18/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/19/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/20/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/21/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/22/2013,0.07
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/23/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/26/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/27/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/28/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/29/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,8/30/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/1/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/3/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/4/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/5/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/6/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/7/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/9/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/10/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/11/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/12/2013,0.05
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/13/2013,0.02
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/14/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/16/2013,0.04
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/17/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/18/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/19/2013,0.02
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/20/2013,0.15
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/21/2013,0.03
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/24/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/25/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/26/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/27/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/29/2013,0.1
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,9/30/2013,0
